"name","review","vote","overall","story","cast","music","rewatch"
"Neko13Momoiro","First, the show was fun, was getting interesting and had a warm ending. I like the characteristic of everyone. They complemented well and the way they grow up and matured was good. I really like Oh Ha Ni since somehow I could relate to her and I was wondering maybe I need someone like Baek Seung Jo :))But he is mostly emotionless :<  but his smile was priceless :DSo I guess his okay. It's funny that his brother will seem experience the same love xDand... There's one thing I was wondering.. What happened to the guy who confessed to Oh Ha Ni? He just showed up for such a short time and it's weird.Anyway, it was still nice ^^","3","8.0","8.0","8.0","9.0","7.0"
"Vick0019","My first Korean drama! It's a pleasant memory for me. I like so much! The arrogant Baek Seung Jo can to be sweet like Ha Ni ^^ This is one of the cutest series!!! I offer for young girls or for people who like nice stories! It's an interesting relationship between the characters but I think it isn't impossible in the real life too. I like this dorama, it's kind for me :)","2","8.5","8.5","8.0","8.5","10"
"Tajo Mahcts","-This was my first ever drama, and it is the PERFECT place to start.-While playful kiss cannot necessarily be confined to the category of ""family drama"", the family aspects in it were amazing, maybe even my favorite part.-The friendships were double plus amazing, this is the part that will seriously have you walking away with your heart so full. So, coming from someone with Synesthesia, the friendships in this drama and the word warm just fit together like two perfect puzzle pieces in my mind.-The humor probably was my favorite part, Playful Kiss is full of the awkward, cringe-inducing humor that has you screaming inside ""ERMAGERSH, THAT IS SO ME!"" (Wait, nobody else did that? That was just me? Oh. Well it made me cry of laughter anyway.)-WARNING: The story will make you hurt though. Personally, it made my heart turn over so many times, not because it's tragic or anything like that, but because of the decisions of the main characters. You just wanna go in there and grab 'em by the shoulders and wholup them around a bit sometimes.-Great plot though, always full of ridiculous antics, always had you playing the next episode before the preview of it at the end of the last episode began. Thinking back, I might have finished it in a day-9.5 outta 10 Recommend","1","9.5","9.5","9.0","8.5","9.5"
"Aquamaraqua","I think if you go into this drama with no expectations, it will surprise you. I have not read the manga, but I have watched other adaptations of this drama. And while I enjoy the Japanese remake better, this drama has a special place in my heart and has its own special aura.The story is straight forward and somewhat cliche, and the acting isn't over the top or remarkable either, but there's a heart in this drama that will make you want to root for the girl. It's a perfect drama to watch as a teenager. I'd have to disagree with some reviews claiming that it showed Oh Hani, the main girl, as senseless. I think it actually depicted somewhat realistically just how swept up some teenagers can get in love interests, that it becomes the whole world to them, but they come to realize that adulthood has many aspects and finding romance is just one of them. Of course the cold male lead ridiculing the young girl is not something anyone wants to support, but this drama doesn't justify him being an asshole either. It instead does show character development and a budding romance between the two leads. I felt like the nearly robotic way the male lead portrayed himself in the beginning wasn't something that deviated out of character, and instead was portrayed fine.One review said that the mom was helping Oh Hani stalk her own son: well they two leads are living in the same house, it's hard to be depicted as a stalker when you are residing in the same place in all honesty. The mom is actually one of the best reasons to watch this drama. She does want the two to get together because she's always longed for a daughter, but she isn't forceful and doesn't get in the way of the relationship either. It was refreshing to see a Kdrama mum be all over the female lead instead of being against her.Overall this drama is worth dipping your toes into at least once. I found a special spark this drama had, if you don't feel it that's fine, but it definitely is worth looking into.","1","9.0","9.0","8.5","9.0","10"
"Tamya Maragh","I have watched most of all the adaptations for this drama and here are reasons...I did not like it at all what so ever.1. I don't like it how the main female was portrayed she wasn't even that dumb or stupid like she was suppose to be at all. Plus, she wasn't even that obsessed with him at all either.2. Kim Hyun Joong's acting was terrible. he didn't suit playing noaki at all because he wasn't even a little bit that cold to her compared to the other verisons. I don't know if it was because I was to in love with the japanese anime at the time,but he didn't do it justice at all.3. The girl who was playing Hae Ra was suppose to play either Sahoko or Naoki's fiance,but they for some reason decided it was a great idea to combine both the character and make her play both. Instead of getting another actress to play the other character like the rest of the versions which was to me lazy.4.The story was too rushed all the scenes was all over the place and it was hard for me to keep up. When some of the scenes didn't happen in their correct order like in the anime,so it left me confused. Also, their was some unnecessary scenes like when Hani got mad at baek seungjoo and left the house,but later admitted her fault and came back home. Waste of time5.It didn't stay true to the original or at least try. Their was also not enough comedy in it, it was like watching a sad documentary in school where just are not supposes to laugh or get you entertained.","0","3.5","2.0","4.0","4.0","4.0"
"Happy101","Just to start off this drama is just sad. Not going to lie I hated the male lead. 1 The female lead bothers me so she’s so mad in love with a guy that she doesn’t care about her future she’s failing all her class. I hate the male lead okay why is he do rude al least give her a little attention. This shows has a cycle first she’s goes to him and says she’s loves him then she try’s something to make him love her he doesn’t care of gets annoying then she swears not to love him he does something she does it again. You could skip episodes not minutes episodes and still understand what’s happened happening. Her family doesn’t have a home right so you would think she would get a job to help her dad out right nope she gets a job to buy the guy clothes that’s just sad. Okay so she failing so how does she get into college explain to me she’s an F student she doesn’t care for herself at all or she’s would of stopped. She would of been like I need to fix my life I need to care about my future she never does that. He rarely shows affection for her even when they are dating. He treats her like trash and she always comebacks to him she never did anything good for herself she does everything for him and him only. He couldn’t care less about her this show is so annoying I absolutely hate this drama I only continued and finshed it because I thought he would become kind but nope that never happens she lets herself get treated like trash how sad.","0","4.0","3.5","2.5","7.0","2.5"
"ErinHudson","This is the first Kdrama I watched and it got me into kdramas althought it is clearly lacking alot. The acting was ok and the story doesn't really have a lot of substance. Theres alot of randomness in this show that doens't really fit. The main problem I had was with the main characters. Oh Ha Ni was just too desperate and thirsty. She seriously was a stalker and had no self-respect. She did everything based on Baek Seung Jo. Then Baek Seung Jo was just really mean. I didn't really buy their love story. He showed hardly any interest in her almost all the way to the end. Still, it is enjoyable in it's own way. If you just want to sit and watch something without thinking too much this is for you. Plus some of the side characters are pretty funny and there are some funny moments in the drama.","0","7.0","6.5","7.0","7.0","5.5"
"kdramabinger","I do not want to write a long review for this as I would pretty much not like to waste any more time on it.After beating around the bush for a good amount of 1 year, I finally decided to give this show a go. What started off as a good experience, left me agitated for having to waste 16 precious hours of my life I probably won't ever get back.What I disliked about this was the fact that there was whatsoever NO character development for the main leads, especially Jung So Min's character. The woman remained a spoiled child to the very end. Every character went through a good transformation and even signs of positive transformation were seen for Kim Hyun Joong's character. But they just probably forgot that the actress needs to mature with age so as a compensation added her career dream in the last second episode.I hated how she had next to none self respect. The fact that she relentlessly pursued the lead with no ounce of dignity was annoying to a murderous rage. Despite the cold treatment by Baek Seung Jo and after crying for like 15 seconds, she went back to being a rug for the main lead.I have never seen such a weak female lead in any show and it enrages me that she was shown as a support to the male lead's career aspirations.I could have easily given it a miss had I known the show continued her childishness to the very end.","0","6.0","6.5","6.0","8.0","1.0"
"ramsha","This Kdrama is based of the anime Itazura Na KISS. However they added some changes to it but the plot line is the exact same. This drama was one of the first dramas I watched that was Korean. And let me tell you it was really awesome. I loved how the girl was very persistent and never gave up hope. It actually gave me some ideas of how to get closer to my crush. It was like I wanted to be her. Literally her life was really amazing. I really wanted it. This drama is funny in all sorts of ways. That is because of the wonderful lead actress. Plus there are so many other things. Like how there are always other girl wanting the extremely good looking guy. Trust me there is a lot of that in here. The only thing I didn’t like was how Oh Hani tried to act cute. idk, it just didn’t look good. It doesn’t suit her face. I also didn’t like the way her hair was styled. But, they did try to make this drama like how the Anime was. So they only did that to get the details of the anime. But, yeah you should watch this. PLUS THIS DRAMA IS ON NETFLIX. WATCH IT BEFORE THEY TAKE IT OFF!!!!!!!!","0","8.5","10","8.0","9.5","9.0"
"OhSoEnthusiastic","This is the third version of this story I've seen (don't ask me why I keep watching different versions of this story, cause I honestly can't answer that), and it's definitely not the best version out there (although if we're being honest, every version has major flaws as they are all built around difficult-to-like and sympathize with characters), but this is one of the more light-hearted, fluffy, easy to sit through versions, so it at least has that going for it. If you aren't put off by clingy characters and jerk male leads who don't really ever see the error of their ways, then this drama (and all it's versions) are tailor-made for you.I'd like to say here that I won't be watching any other versions of this drama. But while I might be able to lie to myself and pretend I won't, I can't lie to those of you reading this.I might.","0","6.5","6.5","6.0","6.0","1.0"
"c00kie27","Overall the drama was ok.The actors did a good job. Good music. A nice funny drama.This drama brightens up my day. The foolishness of the characters will make you laugh.What I didn't like or felt uncomftable with:1)  SeungJo cold as attitude.2) Hani obsession with Seungjo.Most of the episodes are just Hani following seungjo around. I was ok with it first, but then she always followed him which was getting creepy asf.3) SeungJo mom.Most of the time I like her because I also want Hani and Seungjo to be with each other. But then what kind of mother follows their son around and takes photos of them? She is sticking her nose into his business too much!4) Hani doesn't have any prideHow can Hani still like Seungjo after discriminating her and hurting her so badly. She forgives him so quickly. E.g. After SeungJo hurt Hani he doesn't apologize, instead she makes her smile, then cut to next scene.But again it's just a drama, it isn't suppose to feel real///EDIT:I watched the special episodes, they are so cute and funny. They changed my opinion on SeungJo. I highly recommend watching them!!","0","8.0","8.0","9.0","10","8.0"
"Soula","Soooo I watched Playful Kiss because I absolutely LOVE Itazura Na Kiss (the Japanese anime). I literally watched Itazura Na Kiss in ONE (1) night. I literally started at like 8pm and stayed up ALL NIGHT LONG to finish it because it just really captured me. I love how the story starts when they're in high school and ends with them as parents/adults with careers. Something about the story really clicks with me - the girl is deemed undesirable because of her (lack of) intelligence and lack of ""beauty"" and the male is overly desirable and completely unattainable because of his ""looks,"" intelligence, and wealth.This story is cliche and we all know how it ends. Many people actually hate this story because the female MC is treated so poorly by the male MC, but I just can't help but love it. I don't really feel that the male MC treated her in mean ways, I just don't think he was receptive to her advances. His behavior toward her and tenderness eventually show through in positive ways. And that's good enough for me.If you wanna talk about mean dudes, please watch She Was Pretty and then we can chat. I couldn't stomach how mean the male MC (in She Was Pretty) was toward the female MC, knowing that they would inevitably fall in love in the end, because he was just THAT mean to her. My heart would hurt for her and I just would not be happy for her when they got together in the end. If he could treat her that badly before he likes her, but then changes his attitude toward her so severely after they get together, it's just wrong. Especially if you think about how he treats others in that manner.For me, the male MC in Playful Kiss isn't anywhere near this severe in his treatment toward the female MC and so I'm not bothered or hurt and I'm actually happy for them in the end.I think Playful Kiss and the story of Itazura Na Kiss is something to take with a grain of salt and recognize that you might not be looking for a relationship like their's, but you can still appreciate their story.","0","6.5","7.5","7.0","6.0","5.0"
"Lisa","After watching this I liked it but it didn't live up to my expectations though. I felt that the acting wasn't the best and I just didn't really enjoy the chemistry between the two main characters. I felt that they could have done a lot better with the casting and done a better job at the plot. I've watched the other revisions from Japan and Taiwan and they were both pretty amazing in their own ways. They adapted but this was really just a lovesick girl. I thought that this adaptation could have done a lot better. With all that said I still watched it to the end and it was a good filler show to watch when I didn't have anything good to watch.","0","6.5","7.5","7.0","6.0","6.0"
"itsinesok","Ah~ Playful Kiss... Where do I start?First of all, I started watching this Drama because I read a fanfiction which was inspired by the Drama and I got curious. I loved the beginning but after a while I felt that it got really long and I stopped watching it for a while.But then after Episode 10 it got me again and I watched the last 6 episodes and cried so freaking much.It is a cute Drama and I really enjoyed it, but I am not sure if I am going to check out the Japanese and Thai version of it.Overall its a 9/10 for me because I laughed, cried and cringed with this Drama and that's everything a good Drama has to have for me.","0","9.0","9.0","9.0","10","7.0"
"Hymavathi01","This drama was cute..... It can be watchable again.... I love this drama... This is the 1st and best drama I have ever seen... I love the male lead Kim Hyun Joong he was so cute and handsome and lovely...  I love him so much and this is the best drama.....and please watch this drama... ???????????? and I'll watch all his dramas. And the noona she looks cute and her acting was quite beautiful and good.... And if they make play full kiss 2....then I'll be very happy..... But I didn't got the season 2 episode with suitable subtitles..... But I am very happy bcoz I can watch the video and even my oppa Kim Hyun Joong... Oppa fighting and saranghaee","0","10","9.5","10","10","10"
"pktljames","I saw this show early on in my drama watching and it was the first of the ""Itazura Na Kiss"" incarnations that I saw.  Honestly, after seeing most of the other versions (both Taiwanese and both Japanese versions) it's not my favorite version, but I do like it.Kim Hyun Joong plays the stoic and somewhat mean male lead well and Jung So Min's version of the female lead might be one of the better portrayals.  However, while I really do like this show, it's falls short mostly because it doesn't give the full story.  Since it stops just shortly into the marriage part of the story, you don't get to see the best parts of the story (in my opinion) which happen after the two characters are married.   For that reason, you don't get to see the full change in the male lead or the best transformation of the female lead either.That being said, the music is the best in this version and the production quality it probably the best of all the versions as well.  It's definitely worth watching.","0","9.0","9.0","9.5","9.0","9.5"
"Amna Hussain","If you're a person like me who values plot more than dramatics than this drama is not for you.Seung Jo is shown as a perfectionist excelling in everything he touches. It came to a point, that the viewers were led to believe that perhaps our male lead is God himself. Showing no flaw except for his mood swings made the character a bit unrealistic-Cooking ?-Swimming ?-Topping academics without ever studying ?-IQ 200?-Tennis champion?-Handling a business that you have no clue about?While Ha Ni is as stupid as she is cringey. Following or stalking a dude that has rejected her far more times than she could count. I personally dislike characters who have no ambitious callings or have their whole life naively rotating around people who don't seem to replicate any of that devotion back.Eung Jo is extremely rude to Ha Ni belittling her while Ha Ni's SO seems to give zero shits.The whole relation of those two is solely led by Seung Jo. He announces marriage without consulting Ha Ni, kisses her in challenge that she will not forget him even if she wishes too and then cutting contacts with her.However, this drama is under my recommendation if you come home extremely tired from work and need a mindless drama in which you don't have to process anything.","0","5.0","3.5","7.5","5.5","4.5"
"Omegawriter","A very heartwarming drama. I felt fresh every time I watched it. This was my first Korean drama I watched. I was unaware of such series, during my school days my friend suggested me to watch it. At first I felt weird to watch a drama which I can't understand. But with help of subtitles I started to love it. I loved the character of Seung jo's mother. Though I felt bad for the second leads, they too had a happy ending. On the whole it was an enjoyable series. I had fun while watching it and I don't get bored to watch it again.","0","9.5","8.5","9.0","9.5","10"
"Nico","We all have our guilty pleasures.Technically speaking I am not supposed to like this drama, I mean, how could I?Nothing meaningful ever happens, but I was completely won over by Jung So Min’s acting.She carries the drama on her shoulders from start to finish. I understand that many might question her choices of just blindly following Hyun Joong around but I think she’s just blinded by her love for him. I also like the impact she has on him and that he makes his decisions based on what she says without even realizing (he does later on).I take this bubbly, cotton candy drama for what it is, simple, fluffy and I really enjoyed myself watching it.","0","7.5","7.0","8.0","8.0","7.0"
"MAROUZINA","i watched this drama in the first place because of kim hyun joong, when i heard that he was the main lead of this drama i ruched to watch it.so whan i watched it i realy liked it, it was so funny and it was like an adiction i couldn't stop watching it the main leads are kim hyun joong and jung so min, i found this drama realy charming and super funny with a fairytail ending,i realy didn't regreat any single second of it.this is deffinetly one of my favorit dramas i hope u watch it.","3","10","9.0","10","9.0","10"
"KdramaQueen89","Story- The high school episodes were funny. The college years were frustrating and some were a bore. The last couple episodes were super amazing. The end was cute. Even so, How the relationship develops between the leads is very strange. They go from being a no way in hell to very serious but without any real development in between. Thats why I cant give a higher score for the story.Acting/Cast- The leads did a great job in thier role. The actress that played Oh Ha Ni acted well as the immature stalkerish girl to a grown up person who knows what they want. I loved KHJ in BOF but disliked his character in PK. He did a great job acting as the snobby emotionless Baek Seung Jo. BSJ really got on my nerves though. He never showed enough emotion to Ha Ni which made thier relationship in the end really strange. Hated his character!! The supporting cast was funny and served thier purpose.Music- Some cool music nothing too in your face.Overall- Could have been written better but the end was a welcome surprise.","2","8.0","7.0","10","8.0","7.0"
"Triple-R-","This Drama was really gud. My friends kept pushing me to watch it but i kept delaying, but i must say i`m very impress with it. one of my favorite ending was episode 13 that kiss was awesome n the rain( the weather may always seem to b against her, but actually its with her) made it even better. i must say my playa game has improved for sure these girls wont survive my romantic assault after this show lol.I really luv the mother from the get go she was like another Oh ha ni, taking pictures every chance she gets and spreading gossips @ skool lol. the Window scenes where every nice, giving a look inside both characters and how they deal with situation they both face. I think the chemistry between the leads was very gud i had no prob with it. PLAYFUL KISS U DID GUD :)Anyway ppl this Drama is a definite watch ok it will have u LAUGHING :) sad :( but more LAUGHIN :)) i miss it already I want more plzzz","2","9.0","9.0","9.0","9.0","9.0"
"kawaiipotato_10","I really loved this show! It is such a drag but the way they presented this show is awesome .. I actually read its manga like 6 years ago and watched this kdrama in 2012 and I absolutely fell for this. Since I know this show has a drag , I didn't take it in a negative way. I just enjoyed the story, which I have read, since it has these amazing stars .. KIm Hyun Joong even though I found him asshole in the drama he was absolutely handsome!  Jung so Min is so kawaii!   It has no serious story like some big kdramas .. Its just a slice of life!And yes I have watched this like 8-9 times already..","1","9.0","8.0","9.0","9.0","9.0"
"Alicja","My first meeting with South Korea. Irritating lead actor is also the charm of the drama :) I love coming back to this drama! One of the must watch!","1","9.0","10","8.5","8.5","10"
"coolcancerian","This drama is really spl to me ...it introduced me to the world of korean entertainment .Totally loved this one :)kim hyun joong & jung so min my first fav korean actors ..she acted so cute & looked really pretty  .kim hyun joong wt can i say ..guy looks exceptional..i really want to add dozen adjectives hehe:)no matter how many great dramas come ..this will always be a special one !!A MUST WATCH :)","1","9.0","8.0","8.5","8.0","9.5"
"rinsuzuki","The fact that the story was a little altered from which it was based (Itazura na Kiss) and the acting was not so satisfactorily done leave me partly disappointed.I can\'\'t help myself but to compare it to the original adaptation and the famous Taiwanese adaptation drama \""It Started With a Kiss\"". They are a lot better than Playful Kiss. Oh Hani was cute, I love the way she dresses ( even her hair style is cute) and she is so funny YET--in the drama parts,where we, as viewers, need to sympathies with her, are lacking. I can\'\'t feel the way she cries. I can say that the anime is a lot better (I cried and laugh a lot watching the anime adaptation).Anyway, I appreciate their efforts in making these. I bet they spend so big in the production cost, etc..but still, this can\'\'t beat the original.","1","7.0","6.0","6.0","7.0","4.0"
"swamilik","I can related to this story. However, the ending wasn''t the same as me lol.Coming back to the drama, the plot is the same old. It did kind of start to drag on in the end though. The acting by the female lead was much better than the acting by the male lead, but KHJ and his killer smile :D.His mom was the best part of the whole drama. She was absolutely hilarious.*Review edited by Skye in order to improve grammar and spelling.*","2","6.0","6.0","5.0","5.0","5.0"
"Miranda","I would give it a 0 just if I could. This drama is a shame for women. The main female is totally obsessed. She suffers from some kind of mental illness. She's totally crazy, she's irritating, annoying as anything in this world, I don't even understand why some women support this kind of thing. Also, is boring. The story sets in high school, then college, boring boring nothing different, everyone is crazy in this drama, some hate the main (male) but why? IT IS A NORMAL REACTION WHEN SOMEONE IS DOING STUPID THINGS TO BE WITH YOU AFTER YOU REJECTED THEM 10000 TIMES.","0","1.0","1.0","1.0","1.0","1.0"
"Yuna67876","OK i'm going to throw a scenario out here for you guys, do you ever have a drama that you felt guilty you have not watched yet that was me watching this. Playful Kiss was really great like I have no reason why i should not have watched this sooner.Story:The Basic premise around this story without going through into main spoiler territory is main female lead's house gets destroyed and moves into main male lead house. The story does get really better as the drama goes on. The romance did not feel rushed to me which is a really nice thing not to go into this drama worrying. The whole story as a whole i give a 8.5.Acting/Cast:I be rally honest this drama acting was great because of Kim Hyun Joong. Kim Hyun Joong was great in Boys Over Flower, and he is one of my favorites that i will watch anything of his. Jung So Min was pretty great as Oh Ha Ni she tried really great. The other cast was fantastic all around. Acting/Cast I give an 8.Music:OK the ost for this show actually is really fantastic i listened to it before writing this because we all have those moments that we listen to the ost after finishing a drama. The music i will give a 9.Rewatch value/ Recommend:Would i rewatch this? Simple Answer yes. I would love to go back to rewatch this because of Kim Hyun Joong because he one of my faves. I would recommend Playful Kiss to people who love Boys Over Flower, and or just starting getting into k dramas.  My rewatch Value is an 8.Overall:Overall I give Playful Kiss a 9, I feel like a 10 would be great but there were episodes where I kinda flt a little bored (but that just me).","0","9.0","8.5","8.0","9.0","8.0"
"dramacray","good watch, kim hyung is really mean to the main lead, and not in a good way. its a cute little story i suppose, i like kims dark hair much better than how he had it in boys before flowers. to be honest i just watched it because kim was in it. the female lead was ok. the side stories were kind of lame. but still like i said good watch","1","7.0","5.0","8.0","5.0","8.0"
"SoniaPratt","I reviewed this before I really found time to watch it earlier. Its actually a very good and kinda cute drama and Kim Hyun Joon is on his way to being a very good actor. Watch it, its worth it","0","4.0","5.0","2.0","1.0","4.0"
